Title,Price,Rating(out of 5),No. of Reviews,Product Link,ASIN,Manufacturer,Description
ASTRID Blue Diamond Textured Cotton Tote Bag,557,4,137,https://www.amazon.in/ASTRID-Blue-Diamond-Textured-Cotton/dp/B08W5DQ33D/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-259,B08W5DQ33D,SAAV TEX PVT LTD,"Closure: Zipper""TOTE BAGS FOR WOMEN AND GIRLS – This cotton handbag for women is lightweight and comfortable to carry.
This cloth handbag for women, made with beautiful cotton canvas dhurry, measuring 33x33x8 cm, with 10 kg capacity,inside zip pocket and zipper closure this college bag for women is perfect for any outfit and occasion.SUSTAINABLE MATERIALS : This Bag is made out of all natural and 100% biodegradable materials.
At ASTRID, We care about our environment and ensure that we only use best quality biodegradable materials.SIMPLE AND GENTLE WASH-CARE: Just wipe them out with a soft moist cloth to clean.
Keep these bags for women stuffed when not in use to avoid wrinkles.ETHICALLY MANUFACTURED: A bag that sticks with you for a long time is a keeper! At ASTRID, Each bag is made with love in ethically certified manufacturing facilities in India."
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",824,5,55,https://www.amazon.in/SPENZ-BAGS-Backpack-Raincover-Jet-Black/dp/B0C3RLGGVZ/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-260,B0C3RLGGVZ,Spenz Bags,"LARGE CAPACITY & MANY POCKETS: This backpack has two main compartment pockets.
One separate laptop compartment holds 15.6 Inch Laptop as well as 15 Inch, 14 Inch and 13 Inch Mac book or Laptop.
The other one packing compartment is roomy for daily necessities and tech electronics accessories.
Front compartment with zipper pocket and 2 elastic mesh side pockets.Make your items organized and easier to find.COMFY & BREATHABLE BACKPACK: Adjustable shoulder straps and back side comes with comfortable and breathable mesh design, relieves the stress of your shoulder.
A comfortable airflow foam-pad back design with soft, multi-panel breathable mesh padding, offer your back maximum back support.
A foam-padded top handle for a long time carry on.HIGH QUALITY MATERIAL: Our backpack made of waterproof and quality Polyester fabric with metal zippers.
Lightweight and sturdy, ensure a secure & long-lasting usage every day.
Perfects for weekend getaways, shopping, office work, business traveling and other outdoor activities.
Also, it is a perfect student’s backpack for women, men, teens, boys and girls.LAPTOP PROTECTION: Separate laptop compartment with foam padded of this back pack offers the optimal protection for your 15.6 inch laptop.
Mesh pockets for mouse, adapter, charging cord and other electronics.
Take the worry out of your work and study.IDEAL GIFT: This fashionable backpack can be a great companion for travel, business, everyday use and outdoor activities.
Also, a perfect college high school student backpack for boys, girls, teens.
Practical gifts for teens, boys, girls, friends, mother, father, her or him."
Half Moon 36 ltrs Lightweight Waterproof Backpack for Boys Girls Men/Women College Office Laptop School Bags with Rain Cover,649,3,83,https://www.amazon.in/Half-Moon-Lightweight-Waterproof-Laptop/dp/B08RRP2XZY/ref=sr_1_261?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-261,B08RRP2XZY,AB Amazing Bags,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments.
One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc.
Second large compartment for books, files and all your day to day essentials.
And third compartment is for your extra stuff.
It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.<br>COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items.
Stitched properly and Bartacks on every pressure point for extra durability.
Made with strong yet light weight polyester fabric with heavy zippers.
Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e.
boys, girls, men and women<br>PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel.
Easily accommodate a laptop.
Size: 45 cm X 31 cm X 22 cm.; PROUDLY MADE IN INDIA: Half Moon is proud to be an Indian Brand.
We understand the importance of Indian manufacturing and supply chains.
It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.<br>OTHER FEATURES: Rain Cover , Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Reflector Logo<br>Special Features: Back Padding; Age Range Description: Adult<br>"
"Skybags New Neon 13 30 L Backpack (Blue), Free Size (Bpnne13Hblu)",1328,4,471,https://www.amazon.in/SKYBAGS-New-Neon-Backpack-Blue/dp/B0819KVFTR/ref=sr_1_262?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-262,B0819KVFTR,VIP,3 Compartment; Air Mesh Back PanelPadded Fabric Handle1 Front PocketBoth Side Mesh PocketsLining Description: Polyester; Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Travel Backpacks; Age Range Description: Adult
"HP Essentials Polyester Black, Grey Laptop Backpack",949,4,296,https://www.amazon.in/HP-Essentials-Polyester-Laptop-Backpack/dp/B07GGS4RDV/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-263,B07GGS4RDV,No,Colour: Black and grey<br><br> <br>Material: polyester<br><br> <br>For: Laptops nad accessories<br><br> <br>Special Features: Laptop Compartment; Color Name: Black Gray; Closure Type: Zipper; Water Resistance Level: Water Resistant<br>; <br> <br>Pattern Name: Solid <br>
"Nishi Medium Kids Backpack Waterproof Backpack, Girls & Women Stylish Trendy College, School & College Bag Black",379,3,26,https://www.amazon.in/Nishi-Backpack-Waterproof-Stylish-College/dp/B0BR9W54MW/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-264,B0BR9W54MW,,"It is Light and durable with comfortable and adjustable shoulder straps.
Suitable for adults, business man, tourist and children.
A great choice as a gift.ADJUSTABLE SHOULDER STRAP : An adjustable and removable shoulder strap, you can adjust it according to the height of your little princess.Perfect for daily use ; work, school, weekend getaway, traveling, shopping, etc.
It makes great gift for you loved ones!backpack is beyond cute, great quality, and extremely durable.
The bookbags set use SBS zipper, slides easily and smoothly,the backpack have 2-way big head zipper,easy open and close.The straps are padded and adjustable, which can ease the pressure on your shoulder."
"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)",799,4,870,https://www.amazon.in/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-265,B08TR8RMNH,SaiTech IT Private Limited,"Messenger Sling Bag Dimension: Length (Horizontal Distance) – 16.5cm, Height – 20.5cm, Width – 9cm.
Small capacity but perfectly fits up to 10” Tablet.Material: Leather Side Bag is Made of PU Leather with Zipper.Crossbody Sling Bag Structure: A total of 4 pockets(1 Front side pocket,2 Main Pockets,1 Rear Zipper Pocket)Ideal Application: Use this bag as a messenger Sling bag, shoulder bag, suitable for your office and business for everyday use.Disclaimer: The product in image may appear bigger or smaller than the real product.
kindly read the dimension and check with any scale available to you before placing order."
Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,799,4,1444,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1685916178&sprefix=ba%2Caps%2C283&sr=8-266,B012NW0J30,No,"Outer Material: Polyester, Color: Denim GreyCapacity: 24 liters; Dimensions: 46 cms x 33 cms x 16 cms (LxWxH)Number of Compartments: 3Bottle holder mesh; Embedded organizerStyle Name: Traditional Backpacks; Pocket Description: Utility Pocket; Special Features: Back Padding; Water Resistance Level: Waterproof; Closure Type: Zipper; Pattern Name: SolidThree main compartmentsOne front smaller compartmentShow More"
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,4999,4,610,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzcyNzE2MDQxMzk5MTk6MTY4NTkxNjE3ODpzcF9tdGY6MjAxMTUxMDQ5MDc4OTg6OjA6Og&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_267_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685916178%26sprefix%3Dba%252Caps%252C283%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B09V7R98XC,"Designed By Mokobara Lifestyle Private Limited, Bangalore.","Care Instructions: Wipe with Damp ClothCRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Light Brown, Water resistant: YesMOST FEATURE RICH BACKPACK: Front bucket pocket: Retractable key holder, Card holder, Slip pockets, Zippered pocket, Flat opening tech compartment: 5 pockets to store all your tech accessories, Padded laptop compartment with lock strap, Fits up to a 16” laptopINDUSTRY BEST FUNCTIONAL BACKPACK: 2 Hidden bottle/umbrella pocket, Hidden magnetic passport pocket, 10 thoughtfully designed pockets, Luggage sleeve, Silicon grab handle, Padded shoulder straps, Easy length adjustment bucklesMAXED OUT STORAGE: Dimension: 48 x 31 x 16 cm, Capacity: 24LMORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)"
Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Black),1189,3,6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzcyNzE2MDQxMzk5MTk6MTY4NTkxNjE3ODpzcF9tdGY6MjAxNTMyNjAyNzI3OTg6OjA6Og&url=%2FGear-DOUBLE-DECKER-Resistant-Backpack%2Fdp%2FB0BTJ3WTMV%2Fref%3Dsr_1_268_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685916178%26sprefix%3Dba%252Caps%252C283%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B0BTJ3WTMV,Gear Merchandise Pvt Ltd,Ergonomic Shape : Spacious Compartments : Intuitive Access : Water Resistant : Light-weightFront Panel made of Premium Faux Leather Fabric : Cushioned Grab Handle : Padded Base : Optimized Back Panel with Premium Cushioning & Airflow Mechanism : Padded 360 Laptop Sleeve with Velcro Fastener Fits Laptop up to 17" : Premium Long Lasting Zippers & Pullers : Compression Straps on the Sides for Keeping the Contents CompactZippered Quick Access Pocket : Elasticated Bottle Pocket : Embedded Organiser : Elasticated Trolley Sleeve on Back Panel
